Orthogroup	Chlorella_KRBP	Scenedesmus_PABB004
OG0001120	QAXK01002607.1_494-808	KAF8069430.1 RPC19 [Scenedesmus sp. PABB004], KAF8071210.1 NRPB11 [Scenedesmus sp. PABB004]
OG0001122	QAXK01010311.1_2932-555	KAF8071278.1 UPF2 [Scenedesmus sp. PABB004]
OG0001123	QAXK01007750.1_2281-4745	KAF8067237.1 CDC5 [Scenedesmus sp. PABB004]
OG0001133	QAXK01006196.1_4390-1589	KAF8058941.1 tuf [Scenedesmus sp. PABB004]
OG0001143	QAXK01003700.1_2979-9653	KAF8073111.1 DEX1 [Scenedesmus sp. PABB004]
OG0001144	QAXK01003900.1_2413-4929	KAF8073057.1 PXM16 [Scenedesmus sp. PABB004]
OG0001156	QAXK01018601.1_3296-410	KAF8073160.1 D2HGDH [Scenedesmus sp. PABB004]
OG0001158	QAXK01006945.1_6596-10279	KAF8068201.1 SIR1 [Scenedesmus sp. PABB004]
OG0001161	QAXK01004407.1_7887-8977	KAF8071349.1 thylakoid lumenal protein [Scenedesmus sp. PABB004]
OG0001166	QAXK01009825.1_846-2644	KAF8059377.1 hypothetical protein HT031_005182 [Scenedesmus sp. PABB004]
OG0001171	QAXK01006983.1_10356-12388	KAF8058834.1 Eif2b4 [Scenedesmus sp. PABB004]
OG0001176	QAXK01004323.1_8147-5874	KAF8064541.1 hypothetical protein HT031_003341 [Scenedesmus sp. PABB004]
OG0001180	QAXK01019295.1_3574-2070	KAF8071164.1 SOL1 [Scenedesmus sp. PABB004]
OG0001194	QAXK01001649.1_8862-4505	KAF8055583.1 SDH1 [Scenedesmus sp. PABB004]
OG0001201	QAXK01000596.1_10252-6748	KAF8073231.1 ALS SURB [Scenedesmus sp. PABB004]
OG0001208	QAXK01012769.1_10100-9091	KAF8065656.1 KIN4A [Scenedesmus sp. PABB004]
OG0001212	QAXK01005236.1_15612-13478	KAF8055819.1 hypothetical protein HT031_006594 [Scenedesmus sp. PABB004]
OG0001214	QAXK01012739.1_10679-8642	KAF8063761.1 KIN5A [Scenedesmus sp. PABB004]
OG0001216	QAXK01001490.1_17280-15927	KAF8062701.1 SPAC3H8.02 [Scenedesmus sp. PABB004]
OG0001219	QAXK01008035.1_3747-6912	KAF8073106.1 KIN13B [Scenedesmus sp. PABB004]
OG0001221	QAXK01001061.1_17190-18239	KAF8067134.1 SYP32 [Scenedesmus sp. PABB004]
OG0001223	QAXK01005846.1_3896-588	KAF8062096.1 Cwc22 [Scenedesmus sp. PABB004]
OG0001229	QAXK01016063.1_5569-3270	KAF8059136.1 LWD1 [Scenedesmus sp. PABB004]
OG0001231	QAXK01000362.1_21408-20438	KAF8060276.1 YPTC5 [Scenedesmus sp. PABB004]
OG0001236	QAXK01000513.1_15183-11736	KAF8065590.1 hypothetical protein HT031_003191 [Scenedesmus sp. PABB004]
OG0001242	QAXK01004645.1_1487-5075	KAF8072790.1 SBT6.1 [Scenedesmus sp. PABB004]
OG0001246	QAXK01010639.1_8900-15142	KAF8056743.1 glutamate--tRNA ligase [Scenedesmus sp. PABB004]
OG0001248	QAXK01010718.1_75-1989	KAF8072982.1 UPL3 [Scenedesmus sp. PABB004]
OG0001264	QAXK01001653.1_329-2259	KAF8057775.1 tropinone reductase [Scenedesmus sp. PABB004], KAF8057855.1 tropinone reductase-like protein [Scenedesmus sp. PABB004]
OG0001279	QAXK01000624.1_32528-30577	KAF8055399.1 pih1d1 [Scenedesmus sp. PABB004]
OG0001307	QAXK01005917.1_319-7230	KAF8057100.1 hypothetical protein HT031_006109 [Scenedesmus sp. PABB004]
OG0001308	QAXK01006084.1_8922-13556	KAF8062768.1 OVA6 [Scenedesmus sp. PABB004]
OG0001309	QAXK01004533.1_5070-10667	KAF8057121.1 splicing factor 3A subunit 1 [Scenedesmus sp. PABB004]
OG0001310	QAXK01002895.1_5020-6663	KAF8066254.1 strap [Scenedesmus sp. PABB004]
OG0001311	QAXK01001613.1_2521-6885	KAF8060347.1 AP-4 complex subunit epsilon [Scenedesmus sp. PABB004]
OG0001312	QAXK01003510.1_1900-3653	KAF8057238.1 LAF3 [Scenedesmus sp. PABB004]
OG0001313	QAXK01001184.1_9548-5781	KAF8061373.1 PGM3 [Scenedesmus sp. PABB004]
OG0001314	QAXK01001944.1_3765-1753	KAF8072387.1 ttc4 [Scenedesmus sp. PABB004]
OG0001316	QAXK01006921.1_16832-14836	KAF8064508.1 ATJ13 [Scenedesmus sp. PABB004]
OG0001318	QAXK01001801.1_7866-9916	KAF8060281.1 tyrosine--tRNA ligase 1 [Scenedesmus sp. PABB004]
OG0001320	QAXK01000167.1_14384-11911	KAF8060629.1 DNA primase large subunit [Scenedesmus sp. PABB004]
OG0001328	QAXK01006882.1_17133-19836	KAF8072996.1 TSB2 [Scenedesmus sp. PABB004]
OG0001331	QAXK01009171.1_15170-12352	KAF8068401.1 HOC1 [Scenedesmus sp. PABB004]
OG0001332	QAXK01004338.1_10706-15436	KAF8058353.1 hypothetical protein HT031_005671 [Scenedesmus sp. PABB004], KAF8063045.1 eukaryotic translation initiation factor 3 subunit L [Scenedesmus sp. PABB004]
OG0001334	QAXK01003133.1_258-4577	KAF8056244.1 ddx24 [Scenedesmus sp. PABB004], KAF8055993.1 HMCN1 [Scenedesmus sp. PABB004]
OG0001338	QAXK01002293.1_4021-8056	KAF8068424.1 CCR4-1 [Scenedesmus sp. PABB004]
OG0001340	QAXK01004523.1_6228-4685	KAF8056844.1 hypothetical protein HT031_006188 [Scenedesmus sp. PABB004]
OG0001342	QAXK01003268.1_11937-16935	KAF8056357.1 NPL4-like protein 1 [Scenedesmus sp. PABB004]
OG0001343	QAXK01000799.1_6873-2057	KAF8073116.1 GCP2 [Scenedesmus sp. PABB004]
OG0001353	QAXK01011632.1_4873-7912	KAF8055828.1 hypothetical protein HT031_006603 [Scenedesmus sp. PABB004]
OG0001356	QAXK01003307.1_27135-26267	KAF8064608.1 hypothetical protein HT031_003409 [Scenedesmus sp. PABB004]
OG0001360	QAXK01001741.1_6153-8648	KAF8061413.1 bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase [Scenedesmus sp. PABB004]
OG0001363	QAXK01003747.1_13973-10331	KAF8056248.1 proline--tRNA ligase [Scenedesmus sp. PABB004]
OG0001365	QAXK01000515.1_20837-25236	KAF8058408.1 hypothetical protein HT031_005532 [Scenedesmus sp. PABB004]
OG0001366	QAXK01004846.1_20461-19235	KAF8058905.1 impact-B [Scenedesmus sp. PABB004], KAF8061340.1 hypothetical protein HT031_004431 [Scenedesmus sp. PABB004]
OG0001370	QAXK01000381.1_4423-6771	KAF8056114.1 hypothetical protein HT031_006465 [Scenedesmus sp. PABB004]
OG0001374	QAXK01013224.1_5335-6988	KAF8062926.1 ARL8B [Scenedesmus sp. PABB004]
OG0001375	QAXK01005120.1_8361-10056	KAF8065594.1 RAE1 [Scenedesmus sp. PABB004]
OG0001376	QAXK01019935.1_413-1820	KAF8064682.1 UBC32 [Scenedesmus sp. PABB004]
OG0001381	QAXK01000172.1_6135-2748	KAF8058911.1 ARG7 [Scenedesmus sp. PABB004]
OG0001382	QAXK01001066.1_8917-1138	KAF8065579.1 SMC2-1 [Scenedesmus sp. PABB004]
OG0001383	QAXK01003326.1_3639-1243	KAF8061304.1 gyrA [Scenedesmus sp. PABB004]
OG0001385	QAXK01005279.1_10173-5871	KAF8057634.1 TOP6B [Scenedesmus sp. PABB004]
OG0001388	QAXK01001208.1_10635-13964	KAF8054973.1 RH29 [Scenedesmus sp. PABB004]
OG0001393	QAXK01005917.1_17047-13738	KAF8062780.1 CDKC-1 [Scenedesmus sp. PABB004]
OG0001397	QAXK01000502.1_39339-43298	KAF8067373.1 SMU1 [Scenedesmus sp. PABB004]
OG0001398	QAXK01003277.1_3770-8	KAF8071197.1 NFS2 [Scenedesmus sp. PABB004]
OG0001400	QAXK01001993.1_28544-29840	KAF8058464.1 CCDC25 [Scenedesmus sp. PABB004]
OG0001401	QAXK01010276.1_2943-1867	KAF8072868.1 PITH domain-containing protein [Scenedesmus sp. PABB004]
OG0001406	QAXK01000595.1_2983-1676	KAF8058453.1 Hdac1 [Scenedesmus sp. PABB004]
OG0001408	QAXK01000367.1_8675-18356	KAF8057112.1 XPO1 [Scenedesmus sp. PABB004]
OG0001409	QAXK01004930.1_4250-5628	KAF8067418.1 trx1 [Scenedesmus sp. PABB004]
OG0001417	QAXK01005381.1_315-2273	KAF8055281.1 Threonine synthase [Scenedesmus sp. PABB004]
OG0001420	QAXK01000297.1_21777-22493	KAF8059182.1 ZBP14 [Scenedesmus sp. PABB004]
OG0001424	QAXK01001628.1_9434-11057	KAF8056371.1 hypothetical protein HT031_006370 [Scenedesmus sp. PABB004]
OG0001425	QAXK01003581.1_2363-4183	KAF8062909.1 ASB1 [Scenedesmus sp. PABB004]
OG0001426	QAXK01005880.1_1-9276	KAF8058135.1 PRP8A [Scenedesmus sp. PABB004]
OG0001428	QAXK01000837.1_14096-17956	KAF8065743.1 hypothetical protein HT031_002803 [Scenedesmus sp. PABB004]
OG0001431	QAXK01013424.1_6153-1945	KAF8071370.1 R06F6.8 [Scenedesmus sp. PABB004]
OG0001445	QAXK01000732.1_11950-7418	KAF8069713.1 nucleolar GTP-binding protein 1 [Scenedesmus sp. PABB004]
OG0001455	QAXK01001576.1_5934-8651	KAF8061059.1 CYP97C1 [Scenedesmus sp. PABB004]
OG0001456	QAXK01006785.1_1906-1226	KAF8065530.1 PRP40A [Scenedesmus sp. PABB004]
OG0001460	QAXK01015424.1_3358-1233	KAF8060545.1 RPL15 [Scenedesmus sp. PABB004]
OG0001462	QAXK01002112.1_6014-14709	KAF8071322.1 SEC31B [Scenedesmus sp. PABB004]
OG0001465	QAXK01006322.1_7890-11183	KAF8069615.1 hypothetical protein HT031_001732 [Scenedesmus sp. PABB004]
OG0001469	QAXK01007783.1_10721-12010	KAF8059190.1 PEX10 [Scenedesmus sp. PABB004]
OG0001473	QAXK01003650.1_4575-2929	KAF8061317.1 bbs9 [Scenedesmus sp. PABB004]
OG0001476	QAXK01001134.1_7136-9582	KAF8056126.1 COG6 [Scenedesmus sp. PABB004]
OG0001477	QAXK01003160.1_17527-15091	KAF8061068.1 Mutyh [Scenedesmus sp. PABB004]
OG0001480	QAXK01000632.1_24086-22557	KAF8055907.1 OCT1 [Scenedesmus sp. PABB004]
OG0001482	QAXK01000159.1_14204-11398	KAF8072358.1 Glutamate--tRNA ligase [Scenedesmus sp. PABB004]
OG0001488	QAXK01004286.1_7784-2904	KAF8059137.1 UBP14 [Scenedesmus sp. PABB004]
OG0001492	QAXK01003809.1_2040-4733	KAF8066160.1 HCF244 [Scenedesmus sp. PABB004]
OG0001493	QAXK01001201.1_5367-10319	KAF8065497.1 RNR1 [Scenedesmus sp. PABB004]
OG0001506	QAXK01000137.1_3425-4331	KAF8071127.1 RPL13 [Scenedesmus sp. PABB004]
OG0001514	QAXK01003231.1_16625-14068	KAF8072580.1 hypothetical protein HT031_000240 [Scenedesmus sp. PABB004]
OG0001526	QAXK01019948.1_5388-2969	KAF8072660.1 aspS [Scenedesmus sp. PABB004]
OG0001527	QAXK01013863.1_4654-1867	KAF8067307.1 SRL1 [Scenedesmus sp. PABB004]
OG0001528	QAXK01000325.1_37384-41123	KAF8054988.1 nol10 [Scenedesmus sp. PABB004]
OG0001529	QAXK01004092.1_4427-5291	KAF8073044.1 nip7 [Scenedesmus sp. PABB004]
OG0001532	QAXK01000782.1_11007-12134	KAF8073104.1 PI4KG4 [Scenedesmus sp. PABB004]
OG0001533	QAXK01000265.1_17007-12444	KAF8066290.1 hypothetical protein HT031_002613 [Scenedesmus sp. PABB004]
OG0001534	QAXK01000695.1_5671-2183	KAF8063655.1 RID1 [Scenedesmus sp. PABB004]
OG0001538	QAXK01009353.1_4260-348	KAF8062754.1 CSN1 [Scenedesmus sp. PABB004], KAF8060571.1 STR1 [Scenedesmus sp. PABB004]
OG0001542	QAXK01011884.1_2510-4036	KAF8058092.1 ALIS1 [Scenedesmus sp. PABB004]
OG0001544	QAXK01002332.1_5291-4007	KAF8065855.1 hypothetical protein HT031_002915 [Scenedesmus sp. PABB004], KAF8065877.1 TPK1 [Scenedesmus sp. PABB004]
OG0001545	QAXK01000350.1_22889-27018	KAF8064646.1 PRMT5 [Scenedesmus sp. PABB004]
OG0001546	QAXK01011857.1_1226-3209	KAF8065802.1 GCP1 [Scenedesmus sp. PABB004], KAF8060313.1 tsaD [Scenedesmus sp. PABB004]
OG0001549	QAXK01005406.1_4717-2509	KAF8073131.1 cbf5 [Scenedesmus sp. PABB004]
OG0001550	QAXK01004537.1_7009-1449	KAF8073020.1 ABCE2 [Scenedesmus sp. PABB004]
OG0001551	QAXK01006072.1_19473-19787	KAF8069575.1 Rprd1b [Scenedesmus sp. PABB004]
OG0001554	QAXK01001638.1_7681-11612	KAF8055088.1 hypothetical protein HT031_006838 [Scenedesmus sp. PABB004]
OG0001561	QAXK01003228.1_3995-6597	KAF8059098.1 RDM16 [Scenedesmus sp. PABB004]
OG0001562	QAXK01000869.1_5647-9196	KAF8065712.1 grwd1 [Scenedesmus sp. PABB004]
OG0001571	QAXK01005898.1_15715-20620	KAF8061926.1 hypothetical protein HT031_004186 [Scenedesmus sp. PABB004], KAF8061925.1 Kif3c [Scenedesmus sp. PABB004]
OG0001573	QAXK01001714.1_23807-22483	KAF8058893.1 zinc finger CCCH domain-containing protein 24 [Scenedesmus sp. PABB004]
OG0001575	QAXK01006456.1_5116-6698	KAF8072757.1 MAP1B [Scenedesmus sp. PABB004]
OG0001576	QAXK01003511.1_8584-2188	KAF8056781.1 Glyoxysomal fatty acid beta-oxidation multifunctional protein MFP-a [Scenedesmus sp. PABB004]
OG0001579	QAXK01000149.1_3007-205	KAF8073097.1 hypothetical protein HT031_000758 [Scenedesmus sp. PABB004]
OG0001581	QAXK01003468.1_8146-4525	KAF8057853.1 NFS1 [Scenedesmus sp. PABB004]
OG0001582	QAXK01003110.1_3669-4960	KAF8066276.1 KINB2 [Scenedesmus sp. PABB004]
OG0001592	QAXK01004995.1_4321-153	KAF8073150.1 hypothetical protein HT031_000811 [Scenedesmus sp. PABB004]
OG0001595	QAXK01003821.1_4511-8191	KAF8073134.1 DEAD-box ATP-dependent RNA helicase 38 [Scenedesmus sp. PABB004]
OG0001602	QAXK01009112.1_2932-1649	KAF8057633.1 yciO [Scenedesmus sp. PABB004]
OG0001606	QAXK01001551.1_37852-43451	KAF8056247.1 CARS1 [Scenedesmus sp. PABB004]
OG0001618	QAXK01003579.1_4454-5700	KAF8071151.1 fabZ [Scenedesmus sp. PABB004]
OG0001620	QAXK01004906.1_4885-7564	KAF8062034.1 Zadh2 [Scenedesmus sp. PABB004]
OG0001625	QAXK01008598.1_11627-10467	KAF8072584.1 PPOX2 [Scenedesmus sp. PABB004]
OG0001666	QAXK01000648.1_7716-3949	KAF8072634.1 Transketolase [Scenedesmus sp. PABB004]
OG0001670	QAXK01001801.1_20671-18627	KAF8060470.1 hypothetical protein HT031_004646 [Scenedesmus sp. PABB004]
OG0001676	QAXK01000084.1_15952-9180	KAF8063844.1 TRN1 [Scenedesmus sp. PABB004]
OG0001677	QAXK01006154.1_7199-4782	KAF8071251.1 CNX2 [Scenedesmus sp. PABB004]
OG0001679	QAXK01005586.1_4660-3715	KAF8072894.1 hypothetical protein HT031_000554 [Scenedesmus sp. PABB004]
OG0001681	QAXK01003694.1_10054-1111	KAF8061344.1 phosphoribosylformylglycinamidine synthase [Scenedesmus sp. PABB004]
OG0001683	QAXK01005873.1_4902-1877	KAF8073253.1 NIFU1 [Scenedesmus sp. PABB004]
OG0001684	QAXK01001160.1_46203-44172	KAF8062920.1 hypothetical protein HT031_003758 [Scenedesmus sp. PABB004]
OG0001686	QAXK01001518.1_29154-38461	KAF8060094.1 CHC2 [Scenedesmus sp. PABB004]
OG0001687	QAXK01011350.1_4968-4302	KAF8057752.1 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 [Scenedesmus sp. PABB004]
OG0001689	QAXK01000325.1_49285-50693	KAF8054987.1 PBB2 [Scenedesmus sp. PABB004]
OG0001694	QAXK01004860.1_550-2257	KAF8060609.1 mak16 [Scenedesmus sp. PABB004]
OG0001698	QAXK01011739.1_15998-17366	KAF8072691.1 AL21 [Scenedesmus sp. PABB004]
OG0001700	QAXK01001944.1_5351-7976	KAF8072352.1 HSP70-14 [Scenedesmus sp. PABB004]
OG0001702	QAXK01000864.1_61145-62900	KAF8066187.1 BIO2 [Scenedesmus sp. PABB004]
OG0001703	QAXK01003602.1_34329-32576	KAF8059983.1 POLA2 [Scenedesmus sp. PABB004]
OG0001704	QAXK01008991.1_236-2513	KAF8073147.1 clptm1 [Scenedesmus sp. PABB004]
OG0001705	QAXK01002478.1_7313-12188	KAF8065924.1 IBI1 [Scenedesmus sp. PABB004]
OG0001708	QAXK01014303.1_4896-6584	KAF8057678.1 ING4 [Scenedesmus sp. PABB004]
OG0001709	QAXK01018148.1_4196-2780	KAF8070871.1 Alpha-latrocrustotoxin-a [Scenedesmus sp. PABB004]
OG0001712	QAXK01008136.1_3960-6111	KAF8073108.1 RPL13AB [Scenedesmus sp. PABB004]
OG0001713	QAXK01001137.1_1588-5821	KAF8062007.1 lysS [Scenedesmus sp. PABB004]
OG0001714	QAXK01014632.1_3916-2466	KAF8069384.1 hypothetical protein HT031_001499 [Scenedesmus sp. PABB004]
OG0001715	QAXK01004338.1_24179-21163	KAF8055936.1 hypothetical protein HT031_006575 [Scenedesmus sp. PABB004]
OG0001716	QAXK01000646.1_3437-2178	KAF8062742.1 NADH dehydrogenase [ubiquinone] flavoprotein 2 [Scenedesmus sp. PABB004]
OG0001718	QAXK01002273.1_1901-3023	KAF8071236.1 ceeh-2 [Scenedesmus sp. PABB004]
OG0001719	QAXK01013811.1_5298-9155	KAF8069563.1 CCT6A [Scenedesmus sp. PABB004]
OG0001724	QAXK01006565.1_2429-269	KAF8062679.1 Mettl5 [Scenedesmus sp. PABB004]
OG0001728	QAXK01001807.1_1026-15	KAF8060534.1 RPS19A [Scenedesmus sp. PABB004]
OG0001737	QAXK01014793.1_2710-905	KAF8071122.1 U2AF35A [Scenedesmus sp. PABB004]
OG0001738	QAXK01000446.1_74898-73132	KAF8065928.1 PEX12 [Scenedesmus sp. PABB004]
OG0001743	QAXK01001289.1_5327-2954	KAF8059461.1 RPT6B [Scenedesmus sp. PABB004]
OG0001744	QAXK01016939.1_17085-19159	KAF8058411.1 EB1C [Scenedesmus sp. PABB004]
OG0001748	QAXK01007592.1_13848-10196	KAF8071078.1 CYP51 [Scenedesmus sp. PABB004]
OG0001750	QAXK01018869.1_1324-446	KAF8064675.1 hypothetical protein HT031_003477 [Scenedesmus sp. PABB004]
OG0001751	QAXK01000276.1_2022-2543	KAF8071125.1 hypothetical protein HT031_001207 [Scenedesmus sp. PABB004]
OG0001756	QAXK01004906.1_9592-13569	KAF8057933.1 fusA1 [Scenedesmus sp. PABB004]
OG0001760	QAXK01008046.1_15224-18152	KAF8068356.1 PAT13 [Scenedesmus sp. PABB004]
OG0001763	QAXK01006402.1_6220-3948	KAF8064574.1 CLPS3 [Scenedesmus sp. PABB004]
OG0001770	QAXK01001922.1_7027-5313	KAF8062085.1 hypothetical protein HT031_004345 [Scenedesmus sp. PABB004]
OG0001772	QAXK01010435.1_780-2170	KAF8063076.1 hypothetical protein HT031_003915 [Scenedesmus sp. PABB004]
OG0001778	QAXK01006312.1_5841-2543	KAF8064485.1 impdh [Scenedesmus sp. PABB004]
OG0001780	QAXK01003072.1_7601-12066	KAF8066342.1 scy1 [Scenedesmus sp. PABB004]
OG0001782	QAXK01000627.1_25854-27382	KAF8057110.1 PRY3 [Scenedesmus sp. PABB004]
OG0001783	QAXK01004723.1_8556-4882	KAF8073186.1 ADE2 [Scenedesmus sp. PABB004]
OG0001788	QAXK01008099.1_16922-14889	KAF8070952.1 spf31 [Scenedesmus sp. PABB004]
OG0001790	QAXK01000362.1_13682-19843	KAF8072392.1 Coatomer subunit gamma [Scenedesmus sp. PABB004]
OG0001792	QAXK01002348.1_22026-23431	KAF8065962.1 rplA [Scenedesmus sp. PABB004]
OG0001794	QAXK01000643.1_10651-8242	KAF8061162.1 eif3g-a [Scenedesmus sp. PABB004]
OG0001801	QAXK01000208.1_37779-38874	KAF8069406.1 TOM1 [Scenedesmus sp. PABB004]
OG0001806	QAXK01005447.1_6594-9151	KAF8061314.1 ycf24 [Scenedesmus sp. PABB004]
OG0001810	QAXK01011106.1_2568-3152	KAF8056863.1 hypothetical protein HT031_006207 [Scenedesmus sp. PABB004]
OG0001812	QAXK01006399.1_9428-14604	KAF8073244.1 coatomer subunit beta-1 [Scenedesmus sp. PABB004]
OG0001813	QAXK01000513.1_11487-8211	KAF8068207.1 phenylalanine--tRNA ligase [Scenedesmus sp. PABB004]
OG0001818	QAXK01004132.1_4579-6060	KAF8073064.1 60S acidic ribosomal protein P0 [Scenedesmus sp. PABB004]
OG0001821	QAXK01004177.1_17288-11319	KAF8072915.1 BSL2 [Scenedesmus sp. PABB004]
OG0001824	QAXK01003744.1_2800-6411	KAF8059708.1 MAP2B [Scenedesmus sp. PABB004]
OG0001826	QAXK01000105.1_5499-2693	KAF8057278.1 CCT8 [Scenedesmus sp. PABB004]
OG0001832	QAXK01005654.1_7220-1642	KAF8054873.1 BIO3-BIO1 [Scenedesmus sp. PABB004], KAF8054954.1 BIO3-BIO1 [Scenedesmus sp. PABB004]
OG0001837	QAXK01000842.1_51041-53429	KAF8065568.1 purH [Scenedesmus sp. PABB004]
OG0001838	QAXK01003976.1_8556-3734	KAF8061341.1 tsr1 [Scenedesmus sp. PABB004]
OG0001841	QAXK01000976.1_10766-5866	KAF8054979.1 ABCF5 [Scenedesmus sp. PABB004]
OG0001842	QAXK01006275.1_27485-25822	KAF8065887.1 hypothetical protein HT031_002948 [Scenedesmus sp. PABB004]
OG0001843	QAXK01004149.1_22375-24958	KAF8060514.1 eif2s3 [Scenedesmus sp. PABB004]
OG0001845	QAXK01001702.1_1666-273	KAF8060565.1 mettl3 [Scenedesmus sp. PABB004]
OG0001847	QAXK01009311.1_428-2889	KAF8072988.1 sec61a [Scenedesmus sp. PABB004]
OG0001849	QAXK01007671.1_6596-4238	KAF8065757.1 hypothetical protein HT031_002817 [Scenedesmus sp. PABB004]
OG0001855	QAXK01000335.1_27254-25603	KAF8065905.1 SF3B4 [Scenedesmus sp. PABB004]
OG0001856	QAXK01003506.1_17890-19170	KAF8058350.1 upp [Scenedesmus sp. PABB004]
OG0001857	QAXK01002176.1_5254-6169	KAF8070880.1 RAN-A1 [Scenedesmus sp. PABB004]
OG0001858	QAXK01017983.1_2022-269	KAF8071193.1 RPL8 [Scenedesmus sp. PABB004]
OG0001860	QAXK01000036.1_15496-18071	KAF8072572.1 Phenylalanine--tRNA ligase alpha subunit [Scenedesmus sp. PABB004]
OG0001861	QAXK01001933.1_13708-11461	KAF8070969.1 guaA [Scenedesmus sp. PABB004]
OG0001862	QAXK01002439.1_1431-31	KAF8062954.1 yif1b-a [Scenedesmus sp. PABB004]
OG0001863	QAXK01000006.1_11270-7049	KAF8065561.1 SLY1 [Scenedesmus sp. PABB004]
OG0001864	QAXK01001807.1_30588-28596	KAF8055911.1 LCMT1 [Scenedesmus sp. PABB004]
OG0001866	QAXK01004671.1_3332-9990	KAF8071226.1 SAD2 [Scenedesmus sp. PABB004]
OG0001867	QAXK01006658.1_2089-1110	KAF8073032.1 complex 1 intermediate-associated protein [Scenedesmus sp. PABB004]
OG0001868	QAXK01018034.1_4900-2264	KAF8061305.1 VPS18 [Scenedesmus sp. PABB004]
OG0001869	QAXK01002273.1_12619-10163	KAF8069447.1 ECR1 [Scenedesmus sp. PABB004]
OG0001870	QAXK01007444.1_11468-13953	KAF8072744.1 RWA3 [Scenedesmus sp. PABB004]
OG0001871	QAXK01000027.1_14275-12645	KAF8072837.1 CBR1 [Scenedesmus sp. PABB004]
OG0001873	QAXK01003671.1_1285-5252	KAF8060109.1 rimO [Scenedesmus sp. PABB004], KAF8054807.1 rimO [Scenedesmus sp. PABB004]
OG0001874	QAXK01002443.1_10680-7074	KAF8057623.1 hypothetical protein HT031_005972 [Scenedesmus sp. PABB004]
OG0001879	QAXK01014786.1_3020-29	KAF8073080.1 hypothetical protein HT031_000741 [Scenedesmus sp. PABB004]
OG0001880	QAXK01014616.1_960-3765	KAF8058875.1 UBP7 [Scenedesmus sp. PABB004]
OG0001882	QAXK01001694.1_21339-20476	KAF8072978.1 PDX1 [Scenedesmus sp. PABB004]
OG0001883	QAXK01000225.1_2559-365	KAF8055490.1 TIF3I1 [Scenedesmus sp. PABB004]
OG0001887	QAXK01004187.1_1760-33	KAF8055930.1 VP22-1 [Scenedesmus sp. PABB004]
OG0001888	QAXK01016711.1_4152-7100	KAF8068421.1 RPN5A [Scenedesmus sp. PABB004]
OG0001890	QAXK01010406.1_2162-130	KAF8069435.1 protein phosphatase methylesterase 1 [Scenedesmus sp. PABB004]
OG0001893	QAXK01002579.1_17292-15497	KAF8060532.1 Pdcl3 [Scenedesmus sp. PABB004]
OG0001895	QAXK01016971.1_2990-681	KAF8072804.1 N-acetyl-gamma-glutamyl-phosphate reductase [Scenedesmus sp. PABB004]
OG0001898	QAXK01001156.1_3180-1500	KAF8065745.1 cid14 [Scenedesmus sp. PABB004]
OG0001900	QAXK01009399.1_423-2536	KAF8065707.1 UFD1 [Scenedesmus sp. PABB004]
OG0001902	QAXK01008314.1_4813-7042	KAF8064558.1 ADK1 [Scenedesmus sp. PABB004]
OG0001907	QAXK01003345.1_36704-34696	KAF8066203.1 GCN5 [Scenedesmus sp. PABB004]
OG0001911	QAXK01003378.1_5209-366	KAF8061953.1 ALG11 [Scenedesmus sp. PABB004]
OG0001915	QAXK01004688.1_3441-5908	KAF8068311.1 UVR8 [Scenedesmus sp. PABB004]
OG0001916	QAXK01001344.1_15728-16873	KAF8059367.1 radA [Scenedesmus sp. PABB004]
OG0001917	QAXK01010657.1_2437-238	KAF8058477.1 hypothetical protein HT031_005601 [Scenedesmus sp. PABB004]
OG0001918	QAXK01003671.1_14459-17304	KAF8058943.1 WIN1 [Scenedesmus sp. PABB004]
OG0001919	QAXK01001468.1_4935-8852	KAF8065525.1 VAT1 [Scenedesmus sp. PABB004]
OG0001920	QAXK01000770.1_6276-4831	KAF8063750.1 CYP57 [Scenedesmus sp. PABB004]
OG0001921	QAXK01004635.1_12023-13891	KAF8057284.1 VHA-d1 [Scenedesmus sp. PABB004]
OG0001922	QAXK01011133.1_12839-6837	KAF8058864.1 KIN14I [Scenedesmus sp. PABB004]
OG0001928	QAXK01003150.1_16472-17917	KAF8055326.1 TYRAAT2 [Scenedesmus sp. PABB004]
OG0001931	QAXK01002575.1_2869-493	KAF8056778.1 RPL4A [Scenedesmus sp. PABB004]
OG0001934	QAXK01001681.1_35798-38541	KAF8054874.1 rcc2 [Scenedesmus sp. PABB004]
OG0001935	QAXK01001208.1_4428-3497	KAF8073190.1 NADH dehydrogenase [ubiquinone] iron-sulfur protein 8-B [Scenedesmus sp. PABB004]
OG0001936	QAXK01000947.1_9658-8064	KAF8067138.1 MPT3 [Scenedesmus sp. PABB004]
OG0001937	QAXK01002895.1_11877-8991	KAF8066321.1 RIOK1 [Scenedesmus sp. PABB004]
OG0001943	QAXK01001495.1_35130-32135	KAF8066282.1 ERF1-3 [Scenedesmus sp. PABB004]
OG0001945	QAXK01006788.1_3504-1107	KAF8072859.1 PCH2 [Scenedesmus sp. PABB004]
OG0001946	QAXK01006196.1_6560-8156	KAF8066259.1 coatomer subunit epsilon-1 [Scenedesmus sp. PABB004]
